drug,condition,review,effect,rating
LISINOPRIL,Borderline hb,{''},"I have white coat syndrome, my blood work is absolutely perfect. Was put on lisinopril to bring it down, shortness of breath, abdominal pain, diarrhea, tired, headache, nose running, that's it, I'm done.",1
LISINOPRIL,Bp high,{''},Tiredness frequent urine hair loss coming of it but cut tablet in half for now 2.5mg,1
LISINOPRIL,Bp high,{'Hair loss bald patches'},Tiredness frequent urine hair loss coming of it but cut tablet in half for now 2.5mg,1
LISINOPRIL,High Blood Pressure,{'Terrible would not recommend it to anyone'},"Weak and very tired, very nervous",1
LISINOPRIL,High blood pressure,"{""Dr. Told me to stop taking it. It's been 7 days off of the drug now. I still have diarrhea. I pray it stops so I can have my life back. Sorry I ever agreed to take it. Seeing a Naturopathic physician in 2 weeks.""}",Severe diarrhea,1
LISINOPRIL,Moderately high bp,"{""My doctor took me off this immediately. It's been 5 days now. Just starting to get appetite back and diarrhea is slowing down as is cough. This is a terrible med.""}","Lower back pain, swelling in foot, diarrhea, loss of appetite, cough, dry mouth, headaches.",1
LISINOPRIL,High blood pressure,{'This medicine is the worst'},"At first dose felt kinda dizzy for a few days then the brain fog started got to the point after taking it of the evening my head felt so unstable I would have to lay down had no energy stomach aches diarrhea, gas burping have no enjoyment of life after reading these reviews I'm convinced all of this is coming from the lisinopril I'm stopping it as of today praying I get my life back",1
LISINOPRIL,Bp,{'Stop taking..Dr want me to take 50mg locating but it has same side effcts'},Cough..dizzy..headache...very very tired...chest pain,1
LISINOPRIL,,{''},I was gradually having side effects like dizziness and vision problems. I didn't realize it was the medicine! Then one day I was having difficulty breathing! It got worse after that! I couldn't even get out of the bed! I felt like I was going to die!!! I went to 4 different Doctors and none of them referred back to the medication that I was taking! They did blood work and EKGs and came up with nothing and sent me home every time! Apparently they thought I was crazy!!! After hours of research on the internet I found that this all could be a side effect of the Lisinopril! Even after taking it for 10 years!!! I stopped taking it and got better every day!!! I am taking Beetroot Supplements instead!!! I feel better now than I have in years!!!,1
LISINOPRIL,High blood pressure,"{'I ended up in hospital twice, once via ambulance. My blood pressure was sky high on this drug and I was taken from to hospital'}","Chest pain, severe anxiety, stomach pain and surprisingly high blood pressure",1
LISINOPRIL,High blood pressure,"{""Took this medication and it lowered myBp too low. Don't think I needed Bp meds. Started with ringing in ears then terrible headaches. Went to Dr. and they lowered my doseage to 10 then took me off completely. Blood pressure good without meds today 123/68. Have not been on lisinopril for 3 months and still have leg tremors,headaches, heart palpitations and ringing in ears. Do not take this drug. Dr told me I had anxiety cause of heart palpitations and shortness of breath Have been to emergency thought something was wrong with my heart. ekg and blood work showed I'm fine. Now going for stress test with cardiologist. Had none of these symptoms till I was put on lisinopril.""}","Severe headaches,ringing ears,leg tremors,dizziness Numbness in hands and feet,heart palpitations",1
LISINOPRIL,Mild high BP,{'I sure hope this medicine works after the initial start up. I just want to be able to do normal activities with my family.'},Started out feeling no symptoms. Then on my 3rd week I would get dizzy spells doing the slightest bit of work which is very irritating. Stomach issues along with it.,2
LISINOPRIL,High blood pressure...170/90,"{""Luckily, I was switched to Metropolol and it's like night and day. I am so calm now...blood pressure still a little high, but I need to get in shape. But the difference in how I FEEL is so amazing! I'm so happy!""}","HORRIBLE! I think if I was forced to stay on this drug I would have killed myself. Pounding, pounding heart...so much anxiety....inability to focus...incredibly low mood!",1
LISINOPRIL,High BP,{'Should be taken off the market. This is an awful drug that led me to A&E twice in a week after i thought id had a heart attack. How on earth are doctors allowed to prescribe such a dangerous drug thats even capable of making you feel so worryingly ill? FDA need to start doing their job by banning this (snake) poison.'},"Severe chest and back tightness, nausea, severe shortness of breath with only the slightest of movement, frequent palpitations, arrythmias.",1
LISINOPRIL,High Blood pressure,"{""Now the feeling like I'm about to pass out is very much worse so I lie down most of the day. Feel so fatigued and with no energy. I was someone who would do my own house cleaning, etc.""}",Started with 2.5 about 8 years ago. Immediately started feeling faint and dizzy. After a TIA this year dosage was increased to 20mg. The feeling like I'm about to pass out and faint much worse,1
LISINOPRIL,Blood pressure,"{'I hate this med but am afraid to come off being my BP went to 210/117 at the hospital and the doctor put me on it. I did try another medication and it was even worse, if you can believe it. Going to talk to my doctor my next appointment and see what to do. I even went to 1/2 of 5mg with no improvement :('}","Dizzy, fatigue, weakness in leg muscles, bp dropping low, ringing in my right ear, stabbing pain in my head.",1
LISINOPRIL,Borderline HBP,"{""Lisinopril caused muffled hearing in my right ear. I had to figure it out myself. ENT was no help except he prescribed steroids which might have helped in preventing the muffled hearing from getting worse. I wish the ENT would have recognized the connection between hearing problems and lisinopril and told me to quit right away. I told my regular doctor I quit the lisinopril. My BP is currently around 136/86 without any medication. Doctor told me to keep it below 140/90. My right ear hearing seems to be 99% back to normal. I hope it's still healing and will return to 100%.""}",Muffled hearing in my right ear was main problem. Occasional cough that lasted about a minute or two at a time was not really a problem.,1
LISINOPRIL,High blood pressure,{''},Very tired and shortness of breath.,1
LISINOPRIL,Misdiagnosed with hbp,{''},"I was on it almost 2 months & been off 2 months & still suffer from side effects. Heart palpitations, chest pains, earaches, throat tightening, body aches, stabbing headaches, fatigue, anxiety, depression, numbness over body. I believe it has lowered my white blood cell count. A nurse at the ER told me that is a bad medicine & it can linger around in the body a while. I'm trying to research ways to detox so I can get this poison out of me. I feel I can't have a normal life & enjoy my family because of these side effects. If anyone know how long it took for them to start feeling better & if you took any natural remedies, please email me. That med is evil & I don't advise anyone to take it.",1
LISINOPRIL,HBP,{'Terrible drug'},Swelling in feet and hands. Dry cough fatigue. Pins and needles in feet and hands. Anyone else had swelling in feet to cause pain when walking?,1
LISINOPRIL,Borderline hb,{''},"I have white coat syndrome, my blood work is absolutely perfect. Was put on lisinopril to bring it down, shortness of breath, abdominal pain, diarrhea, tired, headache, nose running, that's it, I'm done.",1
LISINOPRIL,Bp high,{''},Tiredness frequent urine hair loss coming of it but cut tablet in half for now 2.5mg,1
LISINOPRIL,Bp high,{'Hair loss bald patches'},Tiredness frequent urine hair loss coming of it but cut tablet in half for now 2.5mg,1
LISINOPRIL,High Blood Pressure,{'Terrible would not recommend it to anyone'},"Weak and very tired, very nervous",1
LISINOPRIL,High blood pressure,"{""Dr. Told me to stop taking it. It's been 7 days off of the drug now. I still have diarrhea. I pray it stops so I can have my life back. Sorry I ever agreed to take it. Seeing a Naturopathic physician in 2 weeks.""}",Severe diarrhea,1
LISINOPRIL,Moderately high bp,"{""My doctor took me off this immediately. It's been 5 days now. Just starting to get appetite back and diarrhea is slowing down as is cough. This is a terrible med.""}","Lower back pain, swelling in foot, diarrhea, loss of appetite, cough, dry mouth, headaches.",1
LISINOPRIL,High blood pressure,{'This medicine is the worst'},"At first dose felt kinda dizzy for a few days then the brain fog started got to the point after taking it of the evening my head felt so unstable I would have to lay down had no energy stomach aches diarrhea, gas burping have no enjoyment of life after reading these reviews I'm convinced all of this is coming from the lisinopril I'm stopping it as of today praying I get my life back",1
LISINOPRIL,Bp,{'Stop taking..Dr want me to take 50mg locating but it has same side effcts'},Cough..dizzy..headache...very very tired...chest pain,1
LISINOPRIL,,{''},I was gradually having side effects like dizziness and vision problems. I didn't realize it was the medicine! Then one day I was having difficulty breathing! It got worse after that! I couldn't even get out of the bed! I felt like I was going to die!!! I went to 4 different Doctors and none of them referred back to the medication that I was taking! They did blood work and EKGs and came up with nothing and sent me home every time! Apparently they thought I was crazy!!! After hours of research on the internet I found that this all could be a side effect of the Lisinopril! Even after taking it for 10 years!!! I stopped taking it and got better every day!!! I am taking Beetroot Supplements instead!!! I feel better now than I have in years!!!,1
LISINOPRIL,High blood pressure,"{'I ended up in hospital twice, once via ambulance. My blood pressure was sky high on this drug and I was taken from to hospital'}","Chest pain, severe anxiety, stomach pain and surprisingly high blood pressure",1
LISINOPRIL,High blood pressure,"{""Took this medication and it lowered myBp too low. Don't think I needed Bp meds. Started with ringing in ears then terrible headaches. Went to Dr. and they lowered my doseage to 10 then took me off completely. Blood pressure good without meds today 123/68. Have not been on lisinopril for 3 months and still have leg tremors,headaches, heart palpitations and ringing in ears. Do not take this drug. Dr told me I had anxiety cause of heart palpitations and shortness of breath Have been to emergency thought something was wrong with my heart. ekg and blood work showed I'm fine. Now going for stress test with cardiologist. Had none of these symptoms till I was put on lisinopril.""}","Severe headaches,ringing ears,leg tremors,dizziness Numbness in hands and feet,heart palpitations",1
LISINOPRIL,Mild high BP,{'I sure hope this medicine works after the initial start up. I just want to be able to do normal activities with my family.'},Started out feeling no symptoms. Then on my 3rd week I would get dizzy spells doing the slightest bit of work which is very irritating. Stomach issues along with it.,2
LISINOPRIL,High blood pressure...170/90,"{""Luckily, I was switched to Metropolol and it's like night and day. I am so calm now...blood pressure still a little high, but I need to get in shape. But the difference in how I FEEL is so amazing! I'm so happy!""}","HORRIBLE! I think if I was forced to stay on this drug I would have killed myself. Pounding, pounding heart...so much anxiety....inability to focus...incredibly low mood!",1
LISINOPRIL,High BP,{'Should be taken off the market. This is an awful drug that led me to A&E twice in a week after i thought id had a heart attack. How on earth are doctors allowed to prescribe such a dangerous drug thats even capable of making you feel so worryingly ill? FDA need to start doing their job by banning this (snake) poison.'},"Severe chest and back tightness, nausea, severe shortness of breath with only the slightest of movement, frequent palpitations, arrythmias.",1
