drug,condition,review,rating
Lisinopril,For High Blood Pressure:,"“I've been on 5mg Lisinopril (the little pink pills manufactured by Lupin Pharm) for 5 or more years. My BP was well managed, then Walgreens changed the manufacturer/supplier of the 5mg pills to Solco Healthcare--a Zhejiang Huahai (China) Pharma company. I immediately saw a rise in my bp which culminated with a trip to the ER with 191/119 bp...no other changes in my life. Zhejiang has a history of using unacceptable 'binding' materials  in their pills. I'm on a quest to find out if Walgreens has some business connection with Solco. These are unacceptable.”",1
Lisinopril,For High Blood Pressure:,"“After trying “norvasc” and having bad side effects, Dr put me on Lisinopril 10mg. Knowing that I am sensitive to medications, I cut the pill in half so I have been taking 5mg. My blood pressure is down to 105/65 and I feel great!! I guess I did not realize how bad I felt with high BP, until I treated it and can look back and say ‘wow’. It was affecting me greatly. It took about 3 days for the lisinopril to build up and start working, I check my BP twice daily. It was dropping slowly every day, but the third day was the day it finally came down to 105/65. Anyways, I have had absolutely zero side effects on Lisinopril. I read all these bad reviews and I know everyone responds differently, but this one is a winner for me. On top of it all, my insurance copay was $1.60. lol. No complaints here. Thought I would share a GOOD experience, seeing people usually come here only when they have a bad one.”","
10 "
Lisinopril,For High Blood Pressure:,"“Prescribed isinopril for borderline High Blood Pressure 10mg. Initially left me feeling very weak and extremely lethargic and sleepy/tired.  Back to doc for follow up, they advise this was my body adjusting and getting used to blood pressure being in a normal range. Blood pressure better, but wow the side effects were not good at all.  Side effects were heart palpitations, extreme fatigue, generally feeling of being unwell and sick. Flu like symptoms and over production of phlegm, numbness and tingling in hands and feet. Discharge in my eyes and lessened my quality of life. At 25 day mark I decided to try cutting pills in half, to wean myself off.  The first day off I was already starting to feel better. After coming off, some days I've felt decent, but still struggle with the withdrawal side effects.  The cough, and nausea.  I've changed my diet for the better and only drink water. Glad to find message boards to share this info to let others they are not alone.”","
2 "
Lisinopril,For High Blood Pressure:,"“Lowering your blood pressure is incredibly important but the side effects make you feel so awful on this stuff.

It causes an allergic type reaction. I constantly have a postnasal drip, dry cough, lungs feel bad. I feel exhausted and sick on this stuff. And it is a very repeatable test.

Also, it depletes your zinc. Which allows strep bacteria to grow, holes in your gut, among tons of problems. 

Telmistartan makes me feel fantastic. Never again Lisinoprol. I feel like I've lost 3 weeks of my life in a lousy feeling haze. So annoyed it takes me this long to figure it out.”","
1 "
Lisinopril,For High Blood Pressure:,“Worst experience ever. Took 10mg lisinopril for 3 days. Felt like I was dying. Went to the emergency room and my bp was 190/120. In my life I have never tested above 150/95 - on nothing. Normally I stay lower than that. I will never take this shit again. Thanks”,"
1 "
Lisinopril,For High Blood Pressure:,"“I started Lisinopril in February, so about 10 months ago. 20mg per day, one per day when I woke up for high BP. Exactly three months to the day of when I took the first one I woke up from a nap incredibly dizzy. I had just refilled my meds the day before so I started the new bottle that morning. Same manufacturer. I was so dizzy I felt like the room was spinning and laying down made it worse. I waited until it passed two days later and made an appointment with my PCP. After CT, MRI, blood work, EKG, topamax, meloxicam, a muscle relaxer, two different types of vertigo diagnosis, I came upon this forum. My symptoms were dizziness, neck and back tension, blood pressure dropping when standing, tingling in my face and arms, anxiety and fatigue. All of this since May. I stopped Lisinopril three days ago. I’m already feeling somewhat better. I just hope I’m back to myself once it’s all out of my system. I don’t recommend it.”","
1 "
Lisinopril,For High Blood Pressure:,"“I've been taking lisinopril for 3 years manufactured by lupin , all the sudden pill changed and now a different manufacturer solco, my blood pressure shot to 165/100 , not all lisinopril are the same side effects different things it has been good with lupin .”","
7 "
Lisinopril,For High Blood Pressure:,"“I have been taken lisopril for about  10 years .  I started off with 20mg. The was increased to 40 mg.
These last few years I have lost a most all my hair, I have ED, I cough my head off, I fell off the ladder at work and I passed at work and damaged my knee.
So I started to do research on this drug and came across all these site effects.  That I was never told about from my doctor or pharmacist.  Why is this?
As of the last two month I am drug free of these drugs and I have gone on ton Ultra CoQ10 and Hypertrol to control my blood pressure plus a diet change. Fruits, veggies, nuts...”","
1 "
Lisinopril,For High Blood Pressure:,"“I have been on this lisinopril  medication about a month and a half and it has helped my blood pressure so much. At my last doctors appointment it was 117/78. It has never been that low. However, as soon as I started the medicine I had a horrible cough. I went and got tested for covid, I’ve been on antibiotics and had chest X-rays because the urgent thought I had some kind of virus. I finally went into my primary care and right away they knew it was the Lisinopril. I would have never put the 2 together. Although it has helped my blood pressure there is no way I can cough like this on a daily basis. It has really affected my life. I have had a hard time taking care of my kids and I’m so exhausted from coughing and not sleeping.”","
1 "
Lisinopril,For High Blood Pressure:,“Started taking Lisinopril 5 mg from Lupin in 2018. My blood pressure starting going crazy in October 2020 and steadily got worse. I was back at my doctor in December.  She suggested I check the manufacturer of the drug. I checked my Walgreens printouts for the manufacturer of the Lisinopril I was taking. Sure enough the manufacturer changed in September to Solco. There were some reviews online which discussed my symptoms--on Lupin bp fine and then changed to Solco and blood pressure went up.  I am back on Lisinopril by Lupin and was advised by my doctor to notify Walgreens.  Will not take Solco again!  The rating below is based on the Solco and not the Lupin.”,"
2 "
Lisinopril,For High Blood Pressure:,"“My Doctor prescribed Lisinopril for my high BP but I was stubborn and didn't take it for a year. Needless to say, my Dr. was not happy and finally convinced me. I cautiously waited for side effects to occur but no noticeable ones ever did.
I bought a BP monitor soon after starting the med. and it was soon under control. Good luck to everyone - if not with this med, hopefully with another one that they can use successfully.”","
10 "
Lisinopril,For High Blood Pressure:,"“Liver damaged by a decade of my 
Insurer formulary Valsartan 
manufactured by Solco and coming from China. Lisinopril manufactured
by Legacy and a Lupin, origin India, product is quickly damaging my kidneys. We need drugs developed
and manufactured in the United States.
Unannounced, thorough, and strict
well funded FDA inspections. Brand name medications at a fair price.”","
2 "
Lisinopril,For High Blood Pressure:,"“I was on LIsinopril for total of 6 months, with constant disruptive cough,  horrific sputum and spitting.  MD said keep taking it because it ""was not Lisinopril"".  However a chest x-ray 3 months before starting it was entirely negative.  A chest x-ray taken after 6 months on Lisinopril showed inflammation, scarring, and nodules.
I took myself off Lisinopril and the coughing and spitting stopped after 4 days.  But I am still left with permanent lung scarring and nodules that need followup.  And doctors who still say it is not Lisinopril.  Why?”","
1 "
Lisinopril,For High Blood Pressure:,"“47, female, my BP was 145/90 so doc said meds.

Chlorthalidone for 5 months and apart from a mild dry cough I was okay but felt some weight gain might be a result despite being diuretic.

Doc puts me on linospril. Within days I had a worse cough, joints have started aching, back and hips hurt for no reason, and even worse, I’ve had allergic reactions three times in a month where my eyes and cheeks swell up and hurt and burn (angiodema). I couldn’t figure out what was causing these weird flares but each time I took Benadryl and it would subside in a day or two. I started researching causes of “rapid, itching, burning face and eye swelling” and ACE inhibitors like Linospril were some of the first results that popped up. One study said up to 30% of patients taking it have had reactions!

I know others they have no issue. But the high rate of anaphylaxis and allergic reaction should be carefully considered by all as apparently it can develop at any time, days, months or years in.....”","
1 "
Lisinopril,For High Blood Pressure:,"“I was on it for 2 years and the quality of my life deteriorated. When I began losing my hair I looked up the side effects of this and I found I must have been one who was very intolerant to it.  I had the hacking cough, runny nose, my voice was hoarse, muscle cramps at night,  incontinence, lethargy, thin brittle fingernails, and insomnia. I stopped taking it and all those symptoms are gone. I had seen doctors about these symptoms but they dismissed them.”","
3 "
Lisinopril,For High Blood Pressure:,"“Worst ever. I was already on another BP drug but my DR said it was still too high. Put me on lisinopril 3 weeks ago. Doing ok. A week ago, I went to my mom's house -she is 70 yrs old, been a nurse forever and is currently an ADON at a nursing home. She immediately said, you have the ""linsiprol cough"". Folks, I am 53 yrs old, I have never coughed liked this in my life. It has made me cry, brought me to my knees, etc. Needless to say. If you are already starting the dry cough, stop taking it”","
1 "
Lisinopril,For High Blood Pressure:,"“Started with lisinopril for high blood at 10mg didn't really lower my blood pressure so my Dr upped it to 20mg, was on it less than a week and a cough was keeping me awake,  then I began with headaches,  dizziness. I didn't think of side effects because some of these symptoms are associated with the high blood pressure.  I got worse with the coughing, itchiness,  pain in my stomach.  So I decided to look up side effects before thinking that I was really sick.  I have taken myself off the medication.”","
4 "
