drug,condition,review,rating,effect,full_review,reviewLength,textBolbSubjectivity,textBolbPolarity,textBolbSentiment,vaderPolarity,vaderSentiment
Lisinopril,For High Blood Pressure,"ive lisinopril (the little pink pills manufactured lupin pharm years. bp well managed, walgreens changed manufacturersupplier pills solco healthcare--a zhejiang huahai (china) pharma company. immediately saw rise bp culminated trip er bp...no changes life. zhejiang history using unacceptable binding materials pills. im quest find walgreens business connection solco. unacceptable.",1,,"Ive been on 5mg Lisinopril (the little pink pills manufactured by Lupin Pharm) for 5 or more years. My BP was well managed, then Walgreens changed the manufacturersupplier of the 5mg pills to Solco Healthcare--a Zhejiang Huahai (China) Pharma company. I immediately saw a rise in my bp which culminated with a trip to the ER with 191119 bp...no other changes in my life. Zhejiang has a history of using unacceptable binding materials  in their pills. Im on a quest to find out if Walgreens has some business connection with Solco. These are unacceptable.",382,0.4,-0.14375,Negative,-0.5994,Negative
Lisinopril,For High Blood Pressure,"trying “norvasc” bad side effects, dr put lisinopril. knowing sensitive medications, cut pill half taking. blood pressure feel great!! guess realize bad felt high bp, treated look back say ‘wow’. affecting greatly. took days lisinopril build start working, check bp twice daily. dropping slowly every day, third day day finally came. anyways, absolutely zero side effects lisinopril. read bad reviews know everyone responds differently, one winner me. top all, insurance copay. lol. complaints here. thought would share good experience, seeing people usually come bad one.",5,,"After trying “norvasc” and having bad side effects, Dr put me on Lisinopril 10mg. Knowing that I am sensitive to medications, I cut the pill in half so I have been taking 5mg. My blood pressure is down to 10565 and I feel great!! I guess I did not realize how bad I felt with high BP, until I treated it and can look back and say ‘wow’. It was affecting me greatly. It took about 3 days for the lisinopril to build up and start working, I check my BP twice daily. It was dropping slowly every day, but the third day was the day it finally came down to 10565. Anyways, I have had absolutely zero side effects on Lisinopril. I read all these bad reviews and I know everyone responds differently, but this one is a winner for me. On top of it all, my insurance copay was $1.60. lol. No complaints here. Thought I would share a GOOD experience, seeing people usually come here only when they have a bad one.",572,0.5582539682539681,0.04015873015873019,Poitive,-0.6103,Negative
Lisinopril,For High Blood Pressure,"prescribed isinopril borderline high blood pressure. initially left feeling weak extremely lethargic sleepytired. back doc follow up, advise body adjusting getting used blood pressure normal range. blood pressure better, wow side effects good all. side effects heart palpitations, extreme fatigue, generally feeling unwell sick. flu like symptoms production phlegm, numbness tingling hands feet. discharge eyes lessened quality life day mark decided try cutting pills half, wean off. first day already starting feel better. coming off, days ive felt decent, still struggle withdrawal side effects. cough, nausea. ive changed diet better drink water. glad find message boards share info let others alone.",1,,"Prescribed isinopril for borderline High Blood Pressure 10mg. Initially left me feeling very weak and extremely lethargic and sleepytired.  Back to doc for follow up, they advise this was my body adjusting and getting used to blood pressure being in a normal range. Blood pressure better, but wow the side effects were not good at all.  Side effects were heart palpitations, extreme fatigue, generally feeling of being unwell and sick. Flu like symptoms and over production of phlegm, numbness and tingling in hands and feet. Discharge in my eyes and lessened my quality of life. At 25 day mark I decided to try cutting pills in half, to wean myself off.  The first day off I was already starting to feel better. After coming off, some days Ive felt decent, but still struggle with the withdrawal side effects.  The cough, and nausea.  Ive changed my diet for the better and only drink water. Glad to find message boards to share this info to let others they are not alone.",703,0.571940476190476,0.07353571428571429,Poitive,0.1045,Poitive
Lisinopril,For High Blood Pressure,"lowering blood pressure incredibly important side effects make feel awful stuff. causes allergic type reaction. constantly postnasal drip, dry cough, lungs feel bad. feel exhausted sick stuff. repeatable test. also, depletes zinc. allows strep bacteria grow, holes gut, among tons problems. telmistartan makes feel fantastic. never lisinoprol. feel like ive lost weeks life lousy feeling haze. annoyed takes long figure out.",1,,"Lowering your blood pressure is incredibly important but the side effects make you feel so awful on this stuff.

It causes an allergic type reaction. I constantly have a postnasal drip, dry cough, lungs feel bad. I feel exhausted and sick on this stuff. And it is a very repeatable test.

Also, it depletes your zinc. Which allows strep bacteria to grow, holes in your gut, among tons of problems. 

Telmistartan makes me feel fantastic. Never again Lisinoprol. I feel like Ive lost 3 weeks of my life in a lousy feeling haze. So annoyed it takes me this long to figure it out.",424,0.7051948051948052,-0.27554112554112553,Negative,-0.971,Negative
Lisinopril,For High Blood Pressure,worst experience ever. took lisinopril days. felt like dying. went emergency room bp. life never tested - nothing. normally stay lower that. never take shit again. thanks,1,,Worst experience ever. Took 10mg lisinopril for 3 days. Felt like I was dying. Went to the emergency room and my bp was 190120. In my life I have never tested above 15095 - on nothing. Normally I stay lower than that. I will never take this shit again. Thanks,170,0.6625000000000001,-0.21250000000000002,Negative,0.3637,Poitive
Lisinopril,For High Blood Pressure,"started lisinopril february months ago per day, one per day woke high bp. exactly three months day took first one woke nap incredibly dizzy. refilled meds day started new bottle morning. manufacturer. dizzy felt like room spinning laying made worse. waited passed two days later made appointment pcp. ct, mri, blood work, ekg, topamax, meloxicam, muscle relaxer, two different types vertigo diagnosis, came upon forum. symptoms dizziness, neck back tension, blood pressure dropping standing, tingling face arms, anxiety fatigue. since may. stopped lisinopril three days ago. i’m already feeling somewhat better. hope i’m back it’s system. don’t recommend it.",1,,"I started Lisinopril in February, so about 10 months ago. 20mg per day, one per day when I woke up for high BP. Exactly three months to the day of when I took the first one I woke up from a nap incredibly dizzy. I had just refilled my meds the day before so I started the new bottle that morning. Same manufacturer. I was so dizzy I felt like the room was spinning and laying down made it worse. I waited until it passed two days later and made an appointment with my PCP. After CT, MRI, blood work, EKG, topamax, meloxicam, a muscle relaxer, two different types of vertigo diagnosis, I came upon this forum. My symptoms were dizziness, neck and back tension, blood pressure dropping when standing, tingling in my face and arms, anxiety and fatigue. All of this since May. I stopped Lisinopril three days ago. I’m already feeling somewhat better. I just hope I’m back to myself once it’s all out of my system. I don’t recommend it.",658,0.37980716253443525,0.16330578512396696,Poitive,-0.3088,Negative
Lisinopril,For High Blood Pressure,"ive taking lisinopril years manufactured lupin , sudden pill changed different manufacturer solco, blood pressure shot , lisinopril side effects different things good lupin .",3,,"Ive been taking lisinopril for 3 years manufactured by lupin , all the sudden pill changed and now a different manufacturer solco, my blood pressure shot to 165100 , not all lisinopril are the same side effects different things it has been good with lupin .",174,0.5750000000000001,0.175,Poitive,0.1779,Poitive
Lisinopril,For High Blood Pressure,"taken lisopril years . started. increased mg. last years lost hair, ed, cough head off, fell ladder work passed work damaged knee. started research drug came across site effects. never told doctor pharmacist. this? last two month drug free drugs gone ton ultra coq hypertrol control blood pressure plus diet change. fruits, veggies, nuts...",1,,"I have been taken lisopril for about  10 years .  I started off with 20mg. The was increased to 40 mg.
These last few years I have lost a most all my hair, I have ED, I cough my head off, I fell off the ladder at work and I passed at work and damaged my knee.
So I started to do research on this drug and came across all these site effects.  That I was never told about from my doctor or pharmacist.  Why is this?
As of the last two month I am drug free of these drugs and I have gone on ton Ultra CoQ10 and Hypertrol to control my blood pressure plus a diet change. Fruits, veggies, nuts...",340,0.3111111111111111,0.13333333333333333,Poitive,-0.25,Negative
Lisinopril,For High Blood Pressure,"lisinopril medication month half helped blood pressure much. last doctors appointment. never low. however, soon started medicine horrible cough. went got tested covid, i’ve antibiotics chest x-rays urgent thought kind virus. finally went primary care right away knew lisinopril. would never put together. although helped blood pressure way cough like daily basis. really affected life. hard time taking care kids i’m exhausted coughing sleeping.",1,,"I have been on this lisinopril  medication about a month and a half and it has helped my blood pressure so much. At my last doctors appointment it was 11778. It has never been that low. However, as soon as I started the medicine I had a horrible cough. I went and got tested for covid, I’ve been on antibiotics and had chest X-rays because the urgent thought I had some kind of virus. I finally went into my primary care and right away they knew it was the Lisinopril. I would have never put the 2 together. Although it has helped my blood pressure there is no way I can cough like this on a daily basis. It has really affected my life. I have had a hard time taking care of my kids and I’m so exhausted from coughing and not sleeping.",445,0.4925595238095239,-0.031051587301587313,Negative,0.451,Poitive
Lisinopril,For High Blood Pressure,started taking lisinopril mg lupin. blood pressure starting going crazy october steadily got worse. back doctor december. suggested check manufacturer drug. checked walgreens printouts manufacturer lisinopril taking. sure enough manufacturer changed september solco. reviews online discussed symptoms--on lupin bp fine changed solco blood pressure went up. back lisinopril lupin advised doctor notify walgreens. take solco again! rating based solco lupin.,1,,Started taking Lisinopril 5 mg from Lupin in 2018. My blood pressure starting going crazy in October 2020 and steadily got worse. I was back at my doctor in December.  She suggested I check the manufacturer of the drug. I checked my Walgreens printouts for the manufacturer of the Lisinopril I was taking. Sure enough the manufacturer changed in September to Solco. There were some reviews online which discussed my symptoms--on Lupin bp fine and then changed to Solco and blood pressure went up.  I am back on Lisinopril by Lupin and was advised by my doctor to notify Walgreens.  Will not take Solco again!  The rating below is based on the Solco and not the Lupin.,455,0.44320987654320987,0.009259259259259257,Poitive,-0.7263,Negative
